time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-31T18:34:14.830Z,44.7588333,-111.0345,7.01,0.53,md,9,130,0.0202,0.12,uu,uu60255672,2017-10-31T21:24:11.130Z,"12km NNE of West Yellowstone, Montana",earthquake,0.68,0.91,0.46,6,reviewed,uu,uu
2017-10-31T18:33:35.060Z,33.8571667,-117.8236667,5.72,2.4,ml,110,20,0.04037,0.2,ci,ci38034112,2017-10-31T21:15:46.433Z,"4km SSW of Yorba Linda, CA",earthquake,0.13,0.32,0.176,26,reviewed,ci,ci
2017-10-31T18:29:49.540Z,44.7258333,-110.9943333,7.44,1.42,ml,13,60,0.03454,0.12,uu,uu60255667,2017-10-31T20:58:19.500Z,"11km NE of West Yellowstone, Montana",earthquake,0.3,0.68,0.102,3,reviewed,uu,uu
2017-10-31T18:24:37.100Z,2.0439,126.0589,28.56,5,mb,,94,1.818,1.4,us,us1000az80,2018-01-24T01:25:01.040Z,"117km NE of Bitung, Indonesia",earthquake,6.3,5.5,0.059,92,reviewed,us,us
2017-10-31T18:24:07.500Z,43.5212,-107.457,15.32,3.2,ml,,114,1.106,1.05,us,us1000az7z,2018-01-24T01:25:01.040Z,"62km ESE of Thermopolis, Wyoming",earthquake,3.6,8.5,0.039,88,reviewed,us,us
2017-10-31T18:16:13.350Z,33.0366667,-116.4316667,6.9,0.74,ml,19,101,0.1445,0.16,ci,ci38034104,2017-10-31T19:10:16.621Z,"16km ESE of Julian, CA",earthquake,0.29,1,0.142,10,reviewed,ci,ci
2017-10-31T18:09:17.150Z,59.9943,-153.1949,120.8,1.8,ml,,,,0.36,ak,ak17132231,2017-11-03T10:14:37.578Z,"60km SSW of Redoubt Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-10-31T18:04:04.290Z,35.7138333,-121.05,9.21,0.86,md,12,56,0.09015,0.05,nc,nc72916706,2017-11-02T22:41:03.211Z,"14km ENE of San Simeon, California",earthquake,0.28,0.96,0.187,10,reviewed,nc,nc
2017-10-31T18:03:18.337Z,51.4445,-175.8899,28.3,1.9,ml,,,,0.55,ak,ak17158645,2017-11-03T10:14:37.210Z,"71km SE of Adak, Alaska",earthquake,,18.7,,,reviewed,ak,ak
2017-10-31T17:57:03.880Z,33.5148333,-116.463,7.59,0.7,ml,23,97,0.03231,0.15,ci,ci38034088,2017-10-31T18:43:33.343Z,"20km ESE of Anza, CA",earthquake,0.27,0.54,0.152,14,reviewed,ci,ci
2017-10-31T17:49:40.780Z,-20.3378,-177.5621,514.17,4.3,mb,,140,4.884,0.52,us,us2000bkzw,2018-01-24T01:25:01.040Z,"123km ENE of Ndoi Island, Fiji",earthquake,20.7,20.7,0.138,15,reviewed,us,us
2017-10-31T17:48:12.291Z,59.894,-152.8245,99.4,1.6,ml,,,,0.37,ak,ak17158644,2017-11-03T10:14:36.785Z,"57km WNW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-10-31T17:47:01.670Z,38.7981682,-122.7986679,3.15,0.82,md,6,146,0.01013,0.02,nc,nc72916701,2017-10-31T18:36:03.614Z,"4km WNW of The Geysers, California",earthquake,0.69,1.36,0.05,3,automatic,nc,nc
2017-10-31T17:43:13.054Z,61.3162,-150.8028,54.9,1.5,ml,,,,0.37,ak,ak17131659,2017-11-03T10:14:36.375Z,"49km WNW of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-10-31T17:39:34.310Z,37.5981667,-118.9545,0.89,1.41,md,27,133,0.01937,0.04,nc,nc72916696,2017-11-07T07:56:03.089Z,"5km SSE of Mammoth Lakes, California",earthquake,0.25,0.48,0.289,24,reviewed,nc,nc
